n_estimators,max_depth,min_samples_split,accuracy,precision,recall,f1,roc_auc,fold_mean_accuracy,fold_std_accuracy,fold_min_accuracy,fold_max_accuracy,vs_baseline
100,15.0,5,0.5629139072847682,0.5757575757575758,0.7037037037037037,0.6333333333333333,0.5504409171075837,0.5632258064516129,0.0885003068505262,0.5,0.7333333333333333,0.026490066225165587
200,5.0,10,0.5629139072847682,0.5742574257425742,0.7160493827160493,0.6373626373626373,0.5223985890652557,0.5632258064516129,0.034141435909619156,0.5161290322580645,0.6,0.026490066225165587
200,15.0,2,0.5562913907284768,0.5673076923076923,0.7283950617283951,0.6378378378378379,0.5495590828924163,0.5567741935483871,0.09034408346195089,0.4838709677419355,0.7333333333333333,0.019867549668874163
300,8.0,5,0.5562913907284768,0.57,0.7037037037037037,0.6298342541436464,0.5432098765432098,0.5569892473118279,0.06234704952397515,0.45161290322580644,0.6333333333333333,0.019867549668874163
300,8.0,2,0.5562913907284768,0.5729166666666666,0.6790123456790124,0.6214689265536724,0.5395061728395062,0.5569892473118279,0.06234704952397515,0.45161290322580644,0.6333333333333333,0.019867549668874163
100,5.0,2,0.5562913907284768,0.57,0.7037037037037037,0.6298342541436464,0.5382716049382715,0.5567741935483872,0.06787118579356334,0.4666666666666667,0.6333333333333333,0.019867549668874163
200,8.0,2,0.5562913907284768,0.5729166666666666,0.6790123456790124,0.6214689265536724,0.5365079365079365,0.5567741935483871,0.04882904503266649,0.4838709677419355,0.6333333333333333,0.019867549668874163
300,10.0,10,0.5562913907284768,0.5714285714285714,0.691358024691358,0.6256983240223464,0.5317460317460317,0.5567741935483871,0.057211576867720236,0.4838709677419355,0.6333333333333333,0.019867549668874163
100,10.0,2,0.5496688741721855,0.5643564356435643,0.7037037037037037,0.6263736263736264,0.5467372134038802,0.5498924731182796,0.06672075502680538,0.4666666666666667,0.6666666666666666,0.013245033112582849
200,10.0,2,0.5496688741721855,0.5643564356435643,0.7037037037037037,0.6263736263736264,0.5432098765432098,0.5501075268817204,0.06486857137921774,0.4838709677419355,0.6666666666666666,0.013245033112582849
100,15.0,2,0.5496688741721855,0.5670103092783505,0.6790123456790124,0.6179775280898876,0.5423280423280423,0.5503225806451613,0.09627685826506598,0.45161290322580644,0.7333333333333333,0.013245033112582849
100,10.0,5,0.5496688741721855,0.5607476635514018,0.7407407407407407,0.6382978723404256,0.535978835978836,0.5501075268817204,0.09767939847334235,0.4666666666666667,0.7333333333333333,0.013245033112582849
